grades,sports,fincome,ses,workage,hmwktime,female,academic,remedial,advanced,_pscore,_treated,_support,_weight,_n1,_nn,_grades,_id,_pdif,set,diff
3,0,5,2,15,6,1,0,1,1,.2738087438826861,0,1,,962,1,2.5,373,.0011592303042,,
3.5,1,2,2,13,5,1,0,0,0,.2246702033024419,1,1,16,249,1,3.5,925,0,20,0
2.5,1,2,2,11,5,0,0,1,0,.5127139771406121,1,1,,754,1,2,1198,.0005039675161586,418,.0033564628
2,1,5,2,17,5,0,0,0,0,.4562139879675711,1,1,1,669,1,2.5,1128,.0000927420849792,132,.000092742084
3.5,0,3,2,14,3,1,1,0,1,.2450724530127256,0,1,,941,1,2.5,306,.000556324736561,,
2.5,0,1,1,17,4,1,0,1,0,.1727380415464856,0,1,,885,1,3.5,68,.0009068112809814,,
3,0,5,2,12,6,0,1,0,1,.617325902923745,0,1,3,1330,1,4,835,0,63,0
3.5,0,7,3,16,5,1,1,0,1,.3302010203802277,0,1,1,1005,1,4,465,.0000222814186491,89,.000022281418
3.5,0,3,1,15,4,0,0,1,0,.4221480830696749,0,1,1,1081,1,4,608,9.19278495676e-06,85,9.1927850e-06
4,0,7,3,14,5,1,1,0,1,.3437173856913628,0,1,,1016,1,3.5,484,.0009875235182879,,
1,0,4,2,15,4,1,0,0,0,.1968701137320906,0,1,,900,1,2.5,140,.0005727908448838,,
3.5,0,3,1,15,3,0,0,1,0,.3909223375506666,0,1,1,1055,1,3,568,.00031946195775,250,.00032855695
4,0,5,3,13,4,0,1,0,1,.5805285171192709,0,1,,1285,1,3,812,.0003448862773393,288,.00045837581
2,0,3,2,14,5,1,0,0,0,.2223063393022683,0,1,,925,1,3.5,234,.0023638640001736,,
2.5,0,1,1,17,4,1,0,0,0,.1572111185320892,0,1,,873,1,2.5,35,.0001396961550429,,
2,1,2,1,11,2,0,0,0,0,.360705007483046,1,1,2,512,1,3.5,1030,.0001331039335501,163,.00013310394
3.5,0,2,1,15,4,1,0,1,0,.1851842146153785,0,1,,891,1,3.5,99,.000947321251713,,
3,1,1,1,14,3,1,0,1,0,.1664257999317862,1,1,4,51,1,3.5,881,.0005259450054958,309,.00052594498
3,0,4,2,14,5,1,1,0,0,.2960626904288172,0,1,,980,1,2.5,408,.000491112853803,,
1,1,3,2,14,4,0,0,0,0,.437954513119211,1,1,2,635,1,2.5,1105,.000228842619042,281,.00044119422
1,1,2,2,16,4,1,0,1,0,.203276914302009,1,1,5,161,1,2,907,.0001467246635915,172,.00014672466
3.5,0,5,2,17,6,1,0,0,0,.2363026616558586,0,1,,935,1,.5,278,.0000811352538593,,
2.5,1,1,1,21,4,1,0,1,1,.1586232923376895,1,1,,36,1,1,874,.0012724776505574,378,.0012915594
2.5,0,1,1,16,3,0,1,0,0,.4359933522993847,0,1,2,1100,1,2,632,.0000978434507829,134,.000097843447
2,0,2,1,14,4,1,1,1,0,.2548828013955679,0,1,,945,1,3.5,329,.000751387915679,,
3,1,4,2,14,7,0,1,1,1,.6531904386820434,1,1,,855,1,3.5,1354,.0026896619804851,499,.27338803
3,1,6,3,14,4,0,1,0,0,.5706488436663648,1,1,,806,1,3.5,1269,.0005939517046785,463,.12735596
2.5,0,1,1,14,6,1,1,0,0,.2838790012468498,0,1,2,971,1,2.5,389,.0001125693930019,146,.0001125694
2.5,0,4,2,14,3,0,0,0,0,.4105717680450982,0,1,,1071,1,2,590,.0010446398589762,386,.0014733374
2.5,0,4,1,17,3,1,1,1,0,.2194501986319037,0,1,1,924,1,2.5,229,.000322490083047,245,.00032249009
4,0,4,3,16,3,1,1,0,1,.2636344941692993,0,1,,951,1,4,355,.0007718027696229,,
2.5,0,4,2,14,1,0,0,1,0,.3727728586758297,0,1,,1038,1,3.5,528,.0021323670583333,510,.3070443
3,0,2,1,15,3,0,0,1,1,.3935008080856115,0,1,1,1058,1,3,570,0,36,0
3.5,0,5,3,15,5,1,1,1,0,.3457702620393496,0,1,,1018,1,4,491,.0005405448724298,,
3.5,1,5,2,12,7,0,1,0,1,.6476485834666523,1,1,1,853,1,2.5,1350,.0002155642154764,195,.00021556421
3,1,6,3,13,6,0,1,0,1,.6461224614924378,1,1,1,852,1,4,1349,.0005284996465781,311,.00052849966
3,1,4,1,16,4,1,0,0,0,.1696160566642878,1,1,7,61,1,4,882,0,5,0
3.5,0,4,2,21,4,1,0,0,0,.1675449157432048,0,1,,881,1,3,52,.0011191158114186,,
2.5,0,2,2,15,7,1,1,0,0,.3392781030775333,0,1,,1013,1,4,480,.0008443109183699,,
3.5,0,1,1,14,5,1,0,0,0,.1921659837720986,0,1,,896,1,1,118,.000388213463347,269,.00038821346
3,1,6,2,12,4,0,1,1,1,.5834076738381959,1,1,,817,1,3,1288,.0008377531349222,353,.00083775312
3.5,0,7,3,12,6,0,1,0,1,.6568863311541098,0,1,3,1359,1,3,856,.0004419983334041,283,.00044199833
3,1,4,1,11,5,0,1,1,1,.5808734033966102,1,1,3,813,1,2.5,1285,.0003125133437393,242,.00031251335
4,0,3,2,16,6,1,0,0,1,.2408332745801811,0,1,1,938,1,3,294,.0002066945353605,255,.00033485706
2,0,5,2,11,5,0,0,0,0,.5004315760105573,0,1,1,1184,1,2.5,738,.0004653081783849,291,.00046530817
3.5,0,7,3,16,4,1,1,0,1,.3015760897603288,0,1,1,984,1,4,418,0,,
3.5,1,5,1,15,7,0,0,0,1,.5084010516212217,1,1,4,748,1,2.5,1194,.0000866044533212,124,.00008660445
2.5,0,4,2,16,5,1,0,0,0,.2145160311620751,0,1,,918,1,3.5,215,0,,
2.5,0,7,3,17,6,1,1,0,0,.3465467408383692,0,1,,1019,1,4,492,.000530217103068,,
2.5,1,5,3,14,4,0,1,1,0,.590959684904159,1,1,,823,1,3,1303,.0004672357455795,480,.1773141
3,0,7,2,16,5,1,1,1,0,.316182901892853,0,1,,991,1,3.5,439,.0002065638878221,,
4,1,6,3,13,7,0,1,0,1,.6755847608654669,1,1,,862,1,3.5,1368,.0024168081270612,506,.29958984
2.5,1,3,3,13,7,1,1,0,0,.3887811174587698,1,1,,561,1,3,1051,.0005652759223845,385,.0014568128
3,0,7,3,15,4,0,1,0,0,.5675398343604339,0,1,1,1267,1,2.5,805,.0002560894170751,233,.00025608941
3,1,5,2,15,2,0,0,0,0,.3765701783155735,1,1,6,535,1,1,1040,.0002148886293175,194,.00021488863
2.5,1,5,3,11,6,0,1,0,1,.6558983918708134,1,1,,856,1,3.5,1358,.0009879392832963,503,.27776781
4,1,3,2,15,6,1,0,0,0,.2412079380348786,1,1,2,297,1,4,939,4.59156789720e-06,70,4.5915681e-06
3,0,5,1,18,1,1,0,0,0,.1105422193760687,0,1,1,865,1,2.5,2,.0071445487128553,440,.0071445489
2.5,0,1,1,21,4,1,1,1,0,.2120384155805941,0,1,,915,1,2.5,202,.0000720079750029,,
2.5,1,5,2,16,4,0,0,0,0,.4317260194336145,1,1,1,625,1,3,1091,0,370,.0010558706
2.5,1,2,1,15,4,0,0,1,0,.4180053995510685,1,1,,598,1,3.5,1076,.0008220956185548,367,.0010489369
2.5,1,2,1,16,4,1,0,1,0,.1802814073790046,1,1,4,87,1,2.5,888,0,10,0
2.5,0,5,3,16,4,0,0,0,0,.4650727580692101,0,1,,1140,1,3,681,.0012812452547717,383,.0014073607
3,0,7,2,16,1,1,0,1,0,.1542131892693,0,1,,872,1,2,26,.0016732728852561,,
3,0,6,2,15,5,1,0,0,0,.2262829548301611,0,1,2,927,1,3.5,250,.0000249243602146,93,.00002492436
3.5,1,5,3,16,5,1,1,0,1,.3225595361079148,1,1,4,453,1,4,1000,.0001136463928079,147,.00011364639
3.5,0,5,2,15,6,1,0,0,0,.2478639230969716,0,1,1,942,1,3.5,314,4.65939108404e-06,,
4,1,1,1,11,7,1,1,0,1,.3379716188676669,1,1,1,478,1,4,1012,.0000801096656579,114,.000080109668
3.5,1,2,1,16,7,1,1,0,1,.3085529167527107,1,1,1,431,1,4,989,0,25,0
3.5,0,3,1,14,7,1,1,0,1,.3255122966842362,0,1,2,1002,1,2,459,.0002069372672946,191,.00020693727
2.5,0,4,1,15,6,1,1,1,1,.3162608798244826,0,1,,991,1,3.5,440,.0002845418194517,,
2,0,6,2,14,4,1,0,0,0,.2080662763421836,0,1,,913,1,2.5,182,.0005743675138425,,
3,0,6,1,15,4,1,0,1,0,.1967206943665831,0,1,,900,1,2.5,136,.0007222102103913,,
2,1,5,2,15,5,0,1,0,0,.5576895340031078,1,1,2,799,1,3,1253,.0004747114601901,354,.00084262516
2.5,1,6,2,13,6,1,0,1,0,.2839915706398517,1,1,1,389,1,2.5,971,.0001125693930019,146,.0001125694
3,0,3,2,15,5,1,1,0,1,.2919974951552672,0,1,1,978,1,4,401,0,23,0
3,1,5,3,15,6,0,1,0,1,.6282627647204355,1,1,2,845,1,4,1338,.0001197580670131,149,.00011975806
2.5,1,7,3,14,6,0,0,0,0,.552342677012636,1,1,3,793,1,3.5,1249,0,57,0
2.5,0,4,2,16,5,0,0,0,0,.4593527677783749,0,1,2,1131,1,2,673,.000230442826106,211,.00023044282
2.5,1,3,2,17,4,0,1,0,0,.5025470414417774,1,1,,740,1,3,1188,.0005975220623562,422,.0037420196
4,1,7,3,11,6,0,0,0,1,.5809868929253079,1,1,2,813,1,2.5,1286,.000426002872437,288,.00045837581
2.5,0,4,2,13,4,0,0,0,0,.4494504213314416,0,1,1,1116,1,3.5,665,5.82898627244e-06,79,5.8289861e-06
3,0,3,1,17,5,1,1,1,0,.2664387308628796,0,1,1,954,1,3,363,.0001906711109475,184,.00019067111
2,0,5,2,14,2,0,0,0,0,.3836182712651295,0,1,,1046,1,2.5,553,.0005429288490186,493,.22911343
.5,0,1,1,17,4,0,0,1,0,.3995099074091337,0,1,1,1062,1,3.5,581,.0001430033471114,170,.00014300334
3,0,4,1,17,5,1,1,0,1,.2551726003861078,0,1,,945,1,3.5,331,.0004615889251391,,
4,1,3,2,21,4,1,1,0,1,.2299135097361165,1,1,2,261,1,3,929,.0000821749450616,116,.000082174942
3,0,2,2,14,4,1,0,0,0,.1961262530741706,0,1,,899,1,2.5,134,.0003096096458672,,
2,0,2,2,21,3,0,1,1,0,.4616883841441529,0,1,,1133,1,3,677,.0004689284960916,392,.0018724501
2.5,0,5,3,15,7,1,1,1,0,.4068188135554673,0,1,,1066,1,3,587,.0006788999164649,338,.00067889993
3,0,7,3,15,5,0,1,0,1,.6056257953503144,0,1,,1318,1,3.5,831,.00057658462757,321,.00058220216
3,1,5,2,16,6,0,0,0,0,.4956308320584261,1,1,1,734,1,2.5,1178,.0002421634214965,227,.00024216343
4,0,3,1,21,3,1,0,0,0,.1272797377131835,0,1,2,867,1,2.5,3,.000555909056886,315,.00055590906
2.5,0,2,1,17,3,1,0,1,0,.1554542360524061,0,1,,873,1,2.5,29,.001896578634726,,
4,0,2,1,16,7,1,1,0,1,.3085529167527107,0,1,2,989,1,3.5,431,0,25,0
2.5,0,7,3,16,6,1,1,1,1,.3835166045127454,0,1,,1046,1,2.5,551,.0006445956014027,495,.2457612
2,0,6,2,21,5,1,0,1,0,.2119664076055912,0,1,1,915,1,2.5,201,0,17,0
3.5,0,7,3,21,6,1,0,0,0,.2461137199587956,0,1,,941,1,2.5,308,.000484942209509,,
3.5,0,7,3,16,6,1,1,0,1,.359856108966798,0,1,1,1029,1,3,511,0,32,0
2.5,0,7,3,15,3,0,0,1,0,.4737343297030985,0,1,,1151,1,3.5,699,.0014039476573967,452,.052106351
3.5,1,7,3,16,6,0,1,0,1,.6292778127130283,1,1,,846,1,3.5,1340,.0005425140665286,494,.24566516
2.5,0,3,3,13,6,0,0,0,1,.5497417698319473,0,1,,1245,1,2,789,.0002075643319898,355,.0008611721
3.5,1,5,2,16,6,1,0,1,0,.2620132052288652,1,1,3,350,1,4,950,.0003797354546767,268,.00037973546
3.5,0,2,1,12,4,1,0,0,0,.1833054327465392,0,1,,890,1,2,93,.0003356438461904,,
3,0,4,2,21,5,1,0,0,0,.1885107144788026,0,1,,894,1,2.5,107,.0013618739036795,,
3.5,0,2,2,21,5,1,1,0,1,.2516792967355668,0,1,,944,1,3,325,.000265952735669,,
3.5,0,3,1,17,4,0,0,0,1,.3902379302982797,0,1,,1054,1,4,563,.0001420885643155,385,.0014568128
2.5,0,5,1,16,5,1,0,1,0,.211280634420023,0,1,,915,1,2.5,196,.0006857731855682,,
1,1,4,2,14,4,0,0,1,0,.4669360787637603,1,1,,684,1,2.5,1142,.0005652058551391,368,.0010492445
3,1,5,2,15,4,0,0,1,0,.4637915128144384,1,1,2,679,1,1,1140,.0010609576985442,374,.0011600108
1,0,4,1,14,3,0,0,0,0,.3781305979139623,0,1,,1040,1,3,538,.0015604195983888,503,.27776781
2,0,7,2,12,4,0,0,0,0,.4694122354032401,0,1,2,1147,1,3.5,689,.0004394916918963,278,.00043949171
3,1,7,2,13,5,0,0,0,0,.4941188329348511,1,1,1,732,1,3,1176,.0003190337693992,244,.00031903377
3.5,1,4,2,16,5,1,0,0,0,.2145160311620751,1,1,4,213,1,3.5,918,0,18,0
4,0,6,3,15,7,0,1,0,1,.6621609832606825,0,1,1,1362,1,3.5,859,0,64,0
4,0,5,3,18,6,0,1,0,1,.6070838611717204,0,1,1,1319,1,3.5,832,.0003449742905561,257,.00034497428
3,1,5,2,16,5,0,0,0,0,.463560834261401,1,1,,679,1,1,1136,.0008302791455069,392,.0018724501
3.5,0,7,3,16,4,1,0,0,1,.2302742730487332,0,1,,929,1,4,262,.0003607633126167,,
4,1,7,3,16,4,1,1,0,1,.3015760897603288,1,1,3,418,1,3.5,984,0,24,0
3.5,1,5,2,13,6,1,1,1,1,.3645798140239153,1,1,1,515,1,3.5,1033,.0004395277230946,279,.00043952774
3,0,5,2,12,6,1,1,0,1,.3481501389562471,0,1,,1020,1,3,494,.0004446150929083,,
3,0,3,3,13,6,1,1,0,0,.3582979606753411,0,1,,1029,1,3,507,.0015581482914568,398,.0021820727
3,0,6,2,17,6,1,1,1,0,.3346924937038159,0,1,,1008,1,2.5,471,.0001821616963561,,
2,0,5,1,11,1,0,0,1,0,.3659078516374432,0,1,,1034,1,2.5,516,.0008914664814764,,
3.5,0,2,2,16,6,1,0,0,1,.2375448745416479,0,1,,936,1,3,284,.0007992622185831,,
3.5,1,6,3,15,5,1,1,0,0,.3268047978513878,1,1,2,461,1,3.5,1003,.0000790567480977,112,.00007905675
4,1,7,3,14,6,1,1,1,1,.3977256702401756,1,1,,579,1,2.5,1060,.0000970345502643,165,.0001371385
2.5,0,1,1,11,3,1,0,1,1,.1852466884408665,0,1,,891,1,3.5,101,.000884847426225,,
3,0,5,1,14,6,1,0,0,1,.2327776855907523,0,1,,930,1,2.5,266,.0008111712889566,,
3.5,0,5,2,13,4,1,0,0,0,.2103414565336557,0,1,,914,1,3,194,.0010200807481506,,
2,1,3,1,15,3,0,0,0,0,.3671159675895512,1,1,1,519,1,2,1035,.0001394446458071,168,.00013944464
3.5,0,5,2,12,3,0,0,0,0,.4291818994317071,0,1,1,1088,1,2.5,622,.000086047767221,121,.000086047767
3,0,6,2,12,6,0,0,0,1,.5362504128503052,0,1,3,1234,1,4,775,.0004447776427646,284,.00044477763
1,0,5,3,13,3,0,1,1,0,.5667120334137979,0,1,4,1265,1,3,804,.0000115328487048,86,.000011532848
2.5,1,5,2,17,5,0,1,0,0,.5430396211091807,1,1,2,778,1,4,1239,0,56,0
3.5,1,5,2,15,4,0,0,1,1,.4706727390569198,1,1,3,690,1,1,1149,.0004784186841448,298,.00047841869
3.5,0,4,2,21,5,0,1,0,0,.5093575143893192,0,1,,1194,1,3.5,750,.0009564627680975,418,.0033564628
2.5,1,3,1,17,5,0,1,1,0,.5259787246781396,1,1,,766,1,3.5,1219,.0019814567891295,454,.053418372
2.5,0,2,1,21,6,1,0,0,0,.1818339946603334,0,1,1,889,1,2,91,.0003795326164096,,
2.5,0,3,1,16,4,0,1,0,0,.4763065883679173,0,1,2,1153,1,2,705,.0000992918856071,137,.000099291887
2.5,1,3,2,13,6,0,0,1,0,.5342538703700841,1,1,,773,1,3,1231,.0005467534353348,458,.063102715
3,0,6,2,17,4,1,0,0,0,.1925115519725744,0,1,,896,1,1,120,.0007337816638227,,
3,0,7,3,13,5,0,1,0,1,.619800043803646,0,1,,1330,1,4,839,.0024741408799009,425,.0045686108
3,1,6,2,15,6,1,1,0,1,.3316900861881975,1,1,2,468,1,4,1007,0,28,0
3.5,0,4,1,12,5,0,1,0,1,.5489595181787396,0,1,,1244,1,3.5,787,.0003506587848853,261,.00035065878
2.5,0,6,2,17,6,1,0,1,0,.2594431018230149,0,1,,949,1,3,342,.0001075674636677,,
2,1,6,2,16,4,0,0,0,0,.4358955088486018,1,1,1,632,1,2.5,1100,.0000978434507829,134,.000097843447
4,1,5,2,16,4,0,1,0,1,.5252747232183929,1,1,,765,1,2,1214,.0015276105778284,387,.0015276106
3,1,6,3,15,5,1,1,1,1,.3561158879061379,1,1,,505,1,3,1026,.0010003992759747,409,.0027361554
3,1,5,2,13,5,1,1,0,0,.3061997557210682,1,1,2,425,1,4,987,.0004217853742649,275,.00042178537
2.5,0,3,1,15,6,1,0,1,0,.2344848609365301,0,1,1,931,1,4,272,0,21,0
2,0,4,2,17,4,1,0,1,0,.2040369500387309,0,1,,908,1,1,167,.0004030089719715,,
3.5,0,6,3,11,4,1,1,0,0,.3244721874198778,0,1,,1001,1,4,458,.0005283028385872,310,.00052830286
4,1,1,1,14,6,0,0,0,0,.4599169838895365,1,1,,673,1,2.5,1132,.0005642161111616,390,.0016724493
3,0,5,2,15,2,0,1,0,0,.4615894331706561,0,1,,1133,1,3,676,.0003699775225949,390,.0016724493
3.5,1,6,2,12,4,1,1,0,0,.2884021560760823,1,1,4,395,1,3,976,5.02887364062e-06,73,5.0288736e-06
3,0,3,2,14,4,1,1,0,0,.2653719140411167,0,1,,952,1,3.5,359,.0003939754090819,270,.00039397541
2.5,0,3,2,11,4,0,0,1,0,.48482689659605,0,1,2,1165,1,4,720,.0002314692582382,216,.00023146925
3,0,5,1,12,4,0,1,0,0,.514282503860794,0,1,2,1205,1,2,757,.0001052191614153,143,.00010521916
2.5,0,5,3,15,6,1,1,0,1,.3588520433853384,0,1,,1029,1,3,508,.0010040655814596,,
4,0,4,2,15,7,0,1,0,1,.6228038499493472,0,1,3,1332,1,4,841,5.59556357471e-06,74,5.5955634e-06
2.5,0,4,2,16,3,1,0,0,0,.1705792945733571,0,1,1,884,1,2.5,63,0,7,0
3,0,2,1,15,3,1,0,1,0,.1644583620236963,0,1,,880,1,4,47,.0000784404638969,,
3.5,0,5,3,12,4,1,0,0,1,.2466403446949641,0,1,,941,1,2.5,310,.0010115669456776,,
2.5,0,7,2,16,5,0,0,0,1,.4788801769295779,0,1,1,1158,1,2.5,711,.0004790371638888,299,.00047903717
3.5,0,5,3,13,6,1,1,0,1,.3727761749362051,0,1,,1038,1,3.5,529,.0021290507979579,509,.30661076
3,0,4,3,14,5,1,1,1,1,.3551154886301632,0,1,5,1024,1,3.5,505,.0000308450948298,95,.000030845094
4,0,5,3,15,6,1,1,0,1,.3588520433853384,0,1,,1029,1,3,509,.0010040655814596,409,.0027361554
3.5,0,4,2,15,7,0,1,1,0,.6398775033783768,0,1,1,1346,1,3.5,851,.0018697586345491,414,.0029590507
3.5,1,6,2,14,6,1,1,1,0,.3551463337249929,1,1,1,505,1,3,1024,.0000308450948298,95,.000030845094
2,1,4,2,13,6,0,0,0,0,.5135532379898996,1,1,1,756,1,3.5,1202,.0001294642088089,158,.00012946421
2,1,3,1,16,5,0,1,1,0,.5333425117139174,1,1,1,773,1,3,1230,.0003646052208318,265,.00036460522
3,0,6,3,17,3,1,1,0,0,.258879970647913,0,1,1,948,1,4,339,.0001585462853657,176,.00015854629
2.5,0,3,2,13,3,0,0,1,0,.4381833557382531,0,1,2,1105,1,1,635,.000228842619042,208,.00022884262
2.5,0,7,3,16,4,1,1,1,1,.3237322974328642,0,1,,1000,1,3.5,455,.0011727613249494,,
2,0,4,2,15,2,0,0,1,1,.4031484923724988,0,1,1,1064,1,3.5,584,.0003255802297676,249,.00032558024
2,0,3,1,16,7,1,0,1,0,.2539370977828999,0,1,,945,1,3.5,327,.001697091528347,,
2.5,1,1,1,13,4,0,0,1,1,.4351530664732478,1,1,3,631,1,2.5,1098,.0000862681232264,122,.000086268126
2.5,0,7,3,16,3,1,1,0,1,.274123974485158,0,1,,963,1,3,377,.0008748587475156,,
3.5,1,7,3,11,6,0,1,0,0,.6573283294875139,1,1,,857,1,2.5,1360,.0001775095998248,283,.00044199833
2,1,7,3,16,5,0,1,0,0,.5917772804267319,1,1,1,824,1,2,1304,0,62,0
3.5,1,1,1,13,6,0,0,1,1,.499106290151252,1,1,,737,1,1,1183,.0009839275147583,362,.00098392752
3.5,1,4,2,15,4,1,0,0,1,.2017049612532056,1,1,1,156,1,3.5,905,.00006166063852,99,.000061660641
4,0,5,3,12,6,0,1,0,1,.6490603731196263,0,1,1,1351,1,2.5,854,.0001285549726144,157,.00012855497
1,0,4,1,17,4,0,0,1,0,.4118366215788922,0,1,,1071,1,2,592,.0002202136748178,297,.00047713958
2.5,0,5,2,11,3,0,0,1,0,.4612194556480612,0,1,2,1133,1,3,674,0,49,0
2.5,0,5,2,12,1,0,0,1,1,.3975885317344766,0,1,,1059,1,3.5,578,.000086829723764,165,.0001371385
3,1,7,3,15,4,1,0,0,1,.2359367258714184,1,1,2,277,1,4,934,.0001020472829083,139,.00010204728
2,0,7,3,11,4,1,1,1,0,.3512136468843379,0,1,,1021,1,2.5,500,.0006665033636207,,
2,0,6,3,13,5,1,1,0,0,.3402672375950917,0,1,1,1014,1,3.5,481,.0007513089751134,347,.00075130898
3.5,0,4,3,12,6,1,0,0,1,.2964395986080094,0,1,,980,1,2.5,410,.0008680210329952,,
2,0,2,1,14,5,0,0,0,0,.4322848837954558,0,1,,1093,1,2.5,626,.0003306140615187,254,.00033061407
3.5,1,4,2,15,5,0,1,0,1,.5603369727121986,1,1,2,800,1,4,1256,.0004415648719409,282,.00044156486
2,0,5,1,21,6,1,0,0,0,.1903505664871386,0,1,1,895,1,3.5,114,.0000635445429478,101,.000063544539
3.5,1,4,2,11,5,0,1,1,1,.6134981411625891,1,1,,835,1,3,1328,.003827761761156,429,.0052731922
4,1,5,2,13,5,0,0,0,0,.4856660382469923,1,1,1,722,1,3,1167,.0002478920752157,230,.00024789208
2.5,1,3,1,11,5,0,0,0,0,.4584127883856794,1,1,2,672,1,2.5,1130,.0001256630220099,153,.00012566302
4,1,6,2,16,6,1,1,0,1,.325000490258465,1,1,3,459,1,3.5,1001,.0005118064257712,310,.00052830286
3,1,6,3,11,4,0,1,0,0,.5923349547855532,1,1,,824,1,2,1306,.0005576743588213,482,.19347587
2.5,1,6,2,16,3,0,0,0,0,.4044293446905747,1,1,1,585,1,3,1065,.0005565726994805,316,.00055657269
4,0,4,2,12,6,1,1,0,0,.3378915092020089,0,1,3,1012,1,4,478,.0000801096656579,114,.000080109668
3,0,2,2,14,6,1,0,0,1,.2491386394957897,0,1,,943,1,3,319,.0007649811927876,,
4,1,6,2,15,5,1,1,1,0,.3190033802820785,1,1,1,447,1,3.5,994,.0001238318140798,152,.00012383181
2.5,1,4,2,11,4,0,0,1,0,.489052444584556,1,1,3,726,1,2.5,1173,0,51,0
3,1,5,2,16,5,1,1,0,0,.2869965343539762,1,1,,392,1,3,975,.0000796704875735,113,.000079670484
3,0,6,3,13,4,1,0,0,0,.2387529736587942,0,1,,937,1,3.5,286,.0017454438639139,,
4,1,5,2,12,7,1,0,0,1,.2987927617348774,1,1,4,415,1,4,981,.0001203555408631,343,.00071993546
3.5,1,5,2,15,5,0,1,0,0,.5576895340031078,1,1,,799,1,3,1254,.0004747114601901,295,.00047471147
4,1,7,2,15,5,0,0,0,1,.4862573329355666,1,1,1,723,1,2.5,1169,.0002373214165436,222,.00023732142
2.5,0,1,2,11,3,0,0,0,1,.4266024531298246,0,1,1,1086,1,2.5,619,.0000324881366534,96,.000032488137
4,0,4,2,16,4,1,1,0,1,.2623929406835419,0,1,1,950,1,3.5,350,.0003797354546767,268,.00037973546
4,1,3,2,12,5,0,0,0,0,.4845954273378117,1,1,2,720,1,2.5,1165,.0002314692582382,216,.00023146925
2,0,2,1,13,4,0,0,0,0,.408049612355961,0,1,2,1067,1,4,588,.0003230976591701,246,.00032309766
2.5,0,5,1,13,6,1,0,0,0,.2331454104223599,0,1,,930,1,2.5,267,.0011788961205642,,
3.5,0,3,2,15,7,0,1,0,1,.6187713333169,0,1,,1330,1,4,837,.001445430393155,429,.0052731922
2.5,0,5,2,17,5,0,1,0,0,.5430396211091807,0,1,,1239,1,2.5,779,0,210,.00023028281
2.5,1,3,1,13,4,0,0,0,0,.4121696417932704,1,1,,593,1,3.5,1072,.0003238781986082,248,.00032387819
2.5,1,3,1,12,4,0,0,1,0,.4439855251445762,1,1,2,651,1,2.5,1111,0,45,0
2,1,6,2,15,3,0,0,1,0,.4361241619917875,1,1,1,633,1,2,1101,0,43,0
3.5,1,5,1,15,1,0,0,1,1,.3447834694629109,1,1,2,487,1,4,1017,.0003295348951677,252,.0003295349
2.5,0,7,3,21,4,1,0,0,0,.1982747312021745,0,1,,901,1,3,146,.0004366803406494,,
2.5,0,4,2,16,3,1,0,0,0,.1705792945733571,0,1,,884,1,2.5,64,0,,
4,1,3,2,13,4,0,0,1,1,.4769720333506378,1,1,3,707,1,2,1155,.0000872809659634,125,.000087280969
4,1,4,3,11,5,0,0,0,1,.5366951904930698,1,1,1,775,1,3,1234,.0004447776427646,284,.00044477763
1,0,5,2,14,3,0,0,1,1,.4460751262378818,0,1,,1114,1,2,653,.0004753441024264,351,.00081565307
3,1,5,2,11,3,0,0,1,0,.4612194556480612,1,1,4,674,1,2.5,1133,0,48,0
3,1,7,3,12,5,0,0,1,1,.5667005005650931,1,1,1,804,1,1,1265,.0000115328487048,86,.000011532848
3,0,7,2,12,1,0,0,0,0,.3751318782112329,0,1,1,1039,1,2.5,533,.0001776228197604,183,.00017762282
2,1,7,2,15,2,0,0,1,0,.408766005151218,1,1,,589,1,1,1069,.0004909185332433,397,.0020817311
4,1,5,3,11,5,0,1,1,0,.6428391878653458,1,1,,851,1,3.5,1347,.002961684486969,496,.26155579
3,0,4,1,18,5,0,0,0,0,.4116106764920046,0,1,1,1071,1,2,591,5.73141206983e-06,76,5.7314119e-06
4,0,6,2,12,5,1,1,1,1,.3454437229677885,0,1,,1018,1,4,489,.0002140058008687,,
3,0,3,2,15,4,1,1,0,0,.2593402605815949,0,1,1,949,1,3,340,4.72622224768e-06,,
3.5,1,5,3,16,7,1,1,1,0,.3996529107562451,1,1,2,581,1,.5,1062,.0001430033471114,170,.00014300334
3.5,1,7,3,12,4,1,0,0,0,.2478685824880556,1,1,7,314,1,3.5,942,4.65939108404e-06,71,4.6593909e-06
2.5,0,5,2,11,3,1,0,1,0,.2158907828762544,0,1,,919,1,3.5,220,.0005218744996249,,
2.5,0,4,2,11,5,1,0,1,0,.262481153791578,0,1,,950,1,3.5,352,.0004679485627128,,
2.5,1,1,1,11,7,0,0,0,0,.5141200183900301,1,1,,757,1,3,1204,.0001624854707639,330,.0006029635
3,1,2,2,12,5,0,1,0,1,.5738394039662047,1,1,,807,1,3,1273,.0004955136934017,467,.14548957
4,0,3,1,18,6,1,0,0,1,.2046960439705921,0,1,,909,1,3.5,170,.0002519067062624,232,.00025190672
2.5,1,3,1,11,5,0,0,1,0,.4833101070522124,1,1,1,719,1,2.5,1163,.0002393390275871,350,.0007980279
3.5,0,2,2,16,6,0,1,0,1,.5763769574649337,0,1,6,1279,1,4,808,5.76819759168e-06,77,5.7681978e-06
